X,Y,, 
"2,50005","0,0377",,
"2,5001","0,03751",,
"2,50015","0,03768",,
"2,5002","0,038",,
"2,50025","0,0379",,
"2,5003","0,03818",,
"2,50035","0,03814",,
"2,5004","0,03797",,
"2,50045","0,0383",,
"2,5005","0,03844",,
"2,50055","0,03861",,
"2,5006","0,03868",,
"2,50065","0,03875",,
"2,5007","0,03897",,
"2,50075","0,03896",,
"2,5008","0,03901",,
"2,50085","0,03932",,
"2,5009","0,03925",,
"2,50095","0,03952",,
"2,501","0,03971",,
"2,50105","0,03976",,
"2,5011","0,03965",,
"2,50115","0,03984",,
"2,5012","0,03995",,
"2,50125","0,04016",,
"2,5013","0,04028",,
"2,50135","0,04028",,
"2,5014","0,0405",,
"2,50145","0,04066",,
"2,5015","0,04062",,
"2,50155","0,04091",,
"2,5016","0,04072",,
"2,50165","0,04119",,
"2,5017","0,04127",,
"2,50175","0,04138",,
"2,5018","0,04135",,
"2,50185","0,04158",,
"2,5019","0,0417",,
"2,50195","0,04177",,
"2,502","0,0419",,
"2,50205","0,04207",,
"2,5021","0,04221",,
"2,50215","0,04236",,
"2,5022","0,04261",,
"2,50225","0,04274",,
"2,5023","0,04262",,
"2,50235","0,04298",,
"2,5024","0,04286",,
"2,50245","0,04283",,
"2,5025","0,0432",,
"2,50255","0,04339",,
"2,5026","0,04378",,
"2,50265","0,04372",,
"2,5027","0,0438",,
"2,50275","0,0441",,
"2,5028","0,04408",,
"2,50285","0,04432",,
"2,5029","0,04451",,
"2,50295","0,04421",,
"2,503","0,04475",,
"2,50305","0,0449",,
"2,5031","0,04506",,
"2,50315","0,04531",,
"2,5032","0,04532",,
"2,50325","0,04531",,
"2,5033","0,04584",,
"2,50335","0,04563",,
"2,5034","0,04593",,
"2,50345","0,046",,
"2,5035","0,04621",,
"2,50355","0,04628",,
"2,5036","0,04661",,
"2,50365","0,0464",,
"2,5037","0,04688",,
"2,50375","0,04703",,
"2,5038","0,04717",,
"2,50385","0,04717",,
"2,5039","0,04734",,
"2,50395","0,04761",,
"2,504","0,04792",,
"2,50405","0,04805",,
"2,5041","0,04826",,
"2,50415","0,04841",,
"2,5042","0,04853",,
"2,50425","0,04886",,
"2,5043","0,04901",,
"2,50435","0,04925",,
"2,5044","0,04937",,
"2,50445","0,04944",,
"2,5045","0,04953",,
"2,50455","0,0499",,
"2,5046","0,05001",,
"2,50465","0,05022",,
"2,5047","0,05057",,
"2,50475","0,05063",,
"2,5048","0,05085",,
"2,50485","0,05118",,
"2,5049","0,05123",,
"2,50495","0,05143",,
"2,505","0,05148",,
"2,50505","0,05198",,
"2,5051","0,05203",,
"2,50515","0,05207",,
"2,5052","0,05244",,
"2,50525","0,05275",,
"2,5053","0,05282",,
"2,50535","0,05321",,
"2,5054","0,0532",,
"2,50545","0,05373",,
"2,5055","0,05373",,
"2,50555","0,05413",,
